"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Dunn, Mike","L","81.1",,,,,"34.3","87.7"
"Volstad, Chris","R","81","87.6",,"87.8",,,"58.4"
"Liriano, Francisco","L","80.9","85.7",,"85.2",,"25.1",
"Hughes, Phil","R","80.9","94.4","49.7",,,,"63.8"
"Stripling, Ross","R","80.9",,"60.5","74.7",,"32.4","78"
"Montgomery, Jordan","L","80.9","87",,"86.5",,"29.6","21.1"
"Paredes, Eduardo","R","80.8",,,"88.4",,"24.4",
"Leone, Dominic","R","80.8","87.3","31.5",,,,
"Minter, A.J.","L","80.7",,"34.5","73.9",,,
"Brault, Steven","L","80.7","85.8","25.9","71.5",,"40.4","61.7"
"Familia, Jeurys","R","80.7","89.9",,,,"13.8",
"Herrera, Kelvin","R","80.6","89.3",,"86.9",,"73.3",
"Germán, Domingo","R","80.6","87.4",,"88.6",,,"34.8"
"Cahill, Trevor","R","80.6","88","28.1","78",,,"64.5"
"Brasier, Ryan","R","80.5","89.4",,"79.4",,"36.5",
"Parker, Blake","R","80.5",,,,,,"63.5"
"Blevins, Jerry","L","80.4",,,"80.4",,,"75.8"
"Quintana, Jose","L","80.4","90.9",,"76.7",,"68.1","64.5"
"Chargois, JT","R","80.4","90.8",,,,"28.3",
"Méndez, Yohander","L","80.4","91.1",,"75.5",,"32.2","30.1"
"Skaggs, Tyler","L","80.3","89.2",,"57.6",,,"93.2"
"Gearrin, Cory","R","80.3","93.5",,"86.7",,"29.1",
"Eflin, Zach","R","80.3","91.7",,"83.3",,"25.9","68.4"
"Morgan, Adam","L","80.3","87.5",,"74.1",,"69","68.7"
"Tazawa, Junichi","R","80.2",,,"82.4",,"67.3","79.8"
"Smith, Drew","R","80.2","85.1",,"81.3",,,"69.7"
"Wilson, Alex","R","80.2","87.3",,,,"33","34.5"
"Kahnle, Tommy","R","80.1",,,"90.9",,"41.5",
"Lawrence, Casey","R","80","89.6",,"90.9",,"38.7",
"Hess, David","R","80",,,"68.8",,"35.6","71.8"
"Corbin, Patrick","L","80","87.9",,"80.9",,"22.1","17"
"Wittgren, Nick","R","80","86.5",,"69.7",,"34.7",
"Reininger, Zac","R","79.9",,,,,"35.8","64.3"
"Hunter, Tommy","R","79.9","82.2","48",,,,"57.5"
"Mills, Alec","R","79.8","86.4",,"83.7",,"68.2","79.6"
"Velázquez, Hector","R","79.8","79.1",,"54.3",,"25.5","46.8"
"Severino, Luis","R","79.8",,,"84",,"47.7",
"Miller, Andrew","L","79.7",,,,,"51.9",
"Trivino, Lou","R","79.7","90.5","35.1",,,,"76.4"
"Velasquez, Vince","R","79.7","80",,"77.5",,"24.8","62.6"
"Gibson, Kyle","R","79.6","89.9",,"79.6",,"25.9","53"
"Colon, Bartolo","R","79.6","86.4","54.7","79.2",,"23.1",
"Peralta, Freddy","R","79.6",,,"70.1",,,"65.8"
"Ramírez, Erasmo","R","79.4","80.3","46.7","79.2",,"26.6",
"Lester, Jon","L","79.4","74.8","44.1","76.4",,,"59.4"
"Cimber, Adam","R","79.4","84.6",,,,"18.1",
"Hughes, Jared","R","79.2","89.5",,,,"17.1",
"Kintzler, Brandon","R","79.2","90.5",,"90.7",,"15.9",
"Stock, Robert","R","79.2","79.8",,"87.4",,"56.9",
