"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Wojciechowski, Asher","R","79.9",,"33.5","86.2",,"65",
"Voth, Austin","R","79.8",,,"63.5",,"35.1","63.5"
"Castillo, Diego","R","79.7","92",,,,"29.2",
"Burke, Brock","L","79.7","84.9",,"56.9",,,"40.3"
"May, Dustin","R","79.7","91.5","26.4",,,,"72.3"
"Johnson, Brian","L","79.7",,,,,"60.9","84.2"
"Iglesias, Raisel","R","79.7","86.5",,"87.3",,"49.7",
"Romo, Sergio","R","79.6","91.1",,"94.9",,"70.7",
"Velasquez, Vince","R","79.5","76",,,,"29.2","58.3"
"Taylor, Josh","L","79.5","86.5",,,,"24.8",
"Wilkerson, Aaron","R","79.4",,,"76.6",,"30","90.2"
"Minaya, Juan","R","79.4",,,"73.3",,"15.1","24.2"
"Gibson, Kyle","R","79.4","88.2",,"78.5",,"30.7","56.7"
"Kelley, Shawn","R","79.3",,,,,"33.2",
"Soria, Joakim","R","79.3","82.2",,"70.8",,"62.2","98.5"
"Alcantara, Sandy","R","79.3","88.2",,"84.9",,"22.5","38.6"
"Bedrosian, Cam","R","79.2",,,,,"33.6",
"Sánchez, Aníbal","R","79.2","90","54.4","69",,"32.3","28.1"
"Armenteros, Rogelio","R","79.1",,,"86.7",,,"45.1"
"Cahill, Trevor","R","79.1","85.2","19.6","76.1",,,"71.8"
"Bolaños, Ronald","R","79.1","82.9",,,,"32.8","68.9"
"Romano, Jordan","R","78.9",,,,,"28.2",
"Blevins, Jerry","L","78.9",,,"74.2",,,"76.4"
"Hudson, Daniel","R","78.9","87.7",,"95.9",,"16.6",
"Margevicius, Nick","L","78.9",,,"54.9",,"24","72.5"
"Quintana, Jose","L","78.8","91.3",,"77.9",,"63.9","58.8"
"Cueto, Johnny","R","78.8","81.2",,"58.8",,"19.8",
"Sherfy, Jimmie","R","78.6",,,"78.1",,"46.8","43.6"
"Johnson, DJ","R","78.6",,,,,,"61.5"
"Nova, Iván","R","78.5","89.1","36.9","87.7",,,"39.7"
"Armstrong, Shawn","R","78.5",,"45",,,"58.6",
"Anderson, Tanner","R","78.4","72.5",,"88.2",,"10.4",
"Peters, Dillon","L","78.4","85.3",,"82.2",,"22.3","70.1"
"Chen, Wei-Yin","L","78.4","86.4",,"73.9",,"38","71.6"
"Skaggs, Tyler","L","78.3",,,"71.3",,,"92.3"
"Kahnle, Tommy","R","78.3",,,"86.2",,"41.4",
"Norris, Daniel","L","78.3","80.9",,"69.2",,"26.7","78.4"
"Suarez, José","L","78.2",,,"58.4",,"20.4","61.1"
"Familia, Jeurys","R","78.2","90.3",,,,"17.5",
"Samardzija, Jeff","R","78.1","86","47.7",,,"29.9","59.3"
"Kikuchi, Yusei","L","78",,,"72.5",,"22.8","74.6"
"Marshall, Evan","R","78","85.3",,"83.6",,,"57.3"
"Wick, Rowan","R","78",,,,,"34.1","91.9"
"Porcello, Rick","R","77.9","85",,"82.9",,"23","71.3"
"Black, Ray","R","77.8",,,,,"54.4",
"Martin, Chris","R","77.7","89.7","32",,,"33.2",
"McRae, Alex","R","77.7","87.1",,"84.1",,"28.4","46.1"
"Ross, Joe","R","77.7","87.7",,"89.8",,"25.1","29.9"
"García, Luis","R","77.6","84.6",,,,"34.9",
"Dugger, Robert","R","77.6","87.8",,,,"27.6","68.2"
